ENT_OCURR,total_presuntos_homicidios,Hombre,Mujer,Infancias (0-9),Adolescentes (10-19),Jóvenes (20-35),Adultos (36-59),Adultos mayores (60+)
01,91,80,10,0,1,37,46,7
02,2076,1801,254,1,92,782,882,319
03,39,32,7,0,1,17,18,3
04,81,78,2,0,4,37,34,6
05,39,29,10,0,4,17,16,2
06,801,681,120,1,58,373,318,51
07,701,634,67,5,56,317,227,96
08,1745,1564,169,5,113,902,563,162
09,741,660,81,5,82,362,250,42
10,58,49,9,1,5,24,23,5
11,3457,2993,455,15,368,1714,1198,162
12,1416,1260,152,3,93,536,576,208
13,266,236,30,2,10,134,108,12
14,1260,1133,126,2,95,586,418,159
15,2519,2201,304,9,202,1221,852,235
16,1448,1293,150,7,149,618,546,128
17,1354,1242,112,5,101,696,499,53
18,139,128,10,1,16,58,42,22
19,1429,1288,141,1,109,777,499,43
20,712,647,65,2,34,309,327,40
21,726,651,75,2,42,329,267,86
22,147,122,25,1,7,68,59,12
23,536,466,62,2,50,257,183,44
24,410,369,39,2,29,218,135,26
25,812,755,44,2,47,350,299,114
26,1164,1066,89,3,85,571,408,97
27,700,621,79,1,66,373,238,22
28,334,304,29,2,26,168,103,35
29,126,113,13,0,14,47,51,14
30,561,499,62,0,27,277,230,27
31,15,11,4,0,0,3,11,1
32,470,432,37,0,55,246,127,42
99,128,109,15,1,5,42,22,58
