ENT_OCURR,total_presuntos_homicidios,Hombre,Mujer,Infancias (0-9),Adolescentes (10-19),Jóvenes (20-35),Adultos (36-59),Adultos mayores (60+)
01,53,47,6,1,1,34,15,2
02,2159,1901,226,1,90,829,837,402
03,34,27,7,0,1,20,10,3
04,64,59,5,0,3,31,27,3
05,62,51,11,0,5,34,20,3
06,748,657,91,1,56,360,292,39
07,341,300,41,4,21,140,148,28
08,1604,1422,179,7,118,809,559,111
09,495,422,73,0,43,246,182,24
10,78,63,15,0,6,36,27,9
11,3341,2857,470,7,357,1679,1052,246
12,1131,1022,107,10,86,482,429,124
13,274,239,33,3,18,124,103,26
14,1246,1111,133,3,77,626,427,113
15,2165,1861,303,15,178,1007,808,157
16,2000,1791,209,4,186,929,683,198
17,1011,919,92,3,96,527,352,33
18,119,110,9,2,8,55,42,12
19,1171,1046,124,4,77,631,430,29
20,648,547,100,5,34,243,309,57
21,716,634,81,1,45,306,247,117
22,118,106,12,1,7,55,39,16
23,515,469,46,2,62,289,148,14
24,608,558,49,4,58,331,187,28
25,376,355,21,0,23,170,141,42
26,1320,1185,122,2,91,647,493,87
27,223,192,31,0,21,107,76,19
28,266,229,33,3,16,132,81,34
29,100,88,12,3,10,44,33,10
30,555,492,63,4,36,252,223,40
31,13,12,1,0,1,5,6,1
32,1284,1140,141,8,202,606,374,94
99,260,227,25,0,13,107,82,58
